date,sst
2002-06-16,14.4339599609375
2002-07-16,16.453948974609375
2002-08-16,15.997833251953125
2002-09-16,15.599578857421875
2002-10-16,15.865386962890625
2002-11-16,15.11737060546875
2002-12-16,14.780487060546875
2003-01-16,14.5496826171875
2003-02-16,14.34979248046875
2003-03-16,13.03631591796875
2003-04-16,12.390869140625
2003-05-16,12.937774658203125
2003-06-16,15.0238037109375
2003-07-16,17.14019775390625
2003-08-16,16.590057373046875
2003-09-16,16.7147216796875
2003-10-16,17.303009033203125
2003-11-16,15.41357421875
2003-12-16,13.8538818359375
2004-01-16,13.3245849609375
2004-02-16,12.89874267578125
2004-03-16,13.612701416015625
2004-04-16,13.280731201171875
2004-05-16,13.810699462890625
2004-06-16,14.99298095703125
2004-07-16,16.680694580078125
2004-08-16,17.389801025390625
2004-09-16,18.9267578125
2004-10-16,16.513214111328125
2004-11-16,15.78271484375
2004-12-16,14.609588623046875
2005-01-16,14.320098876953125
2005-02-16,14.14910888671875
2005-03-16,14.763153076171875
2005-04-16,13.059600830078125
2005-05-16,13.808746337890625
2005-06-16,14.072174072265625
2005-07-16,15.946563720703125
2005-08-16,17.806884765625
2005-09-16,16.66363525390625
2005-10-16,15.3768310546875
2005-11-16,15.10821533203125
2005-12-16,14.33087158203125
2006-01-16,12.92388916015625
2006-02-16,13.514495849609375
2006-03-16,11.94671630859375
2006-04-16,13.200653076171875
2006-05-16,14.766082763671875
2006-06-16,16.191650390625
2006-07-16,18.801727294921875
2006-08-16,19.4000244140625
2006-09-16,18.08203125
2006-10-16,17.055145263671875
2006-11-16,16.7835693359375
2006-12-16,14.929046630859375
2007-01-16,13.630340576171875
2007-02-16,13.996856689453125
2007-03-16,13.3717041015625
2007-04-16,12.79644775390625
2007-05-16,13.32037353515625
2007-06-16,15.16290283203125
2007-07-16,18.06243896484375
2007-08-16,18.679107666015625
2007-09-16,17.126922607421875
2007-10-16,15.618499755859375
2007-11-16,14.865234375
2007-12-16,13.31256103515625
2008-01-16,12.839263916015625
2008-02-16,12.781829833984375
2008-03-16,12.662261962890625
2008-04-16,12.154022216796875
2008-05-16,13.079437255859375
2008-06-16,15.808074951171875
2008-07-16,18.052001953125
2008-08-16,18.796722412109375
2008-09-16,18.556640625
2008-10-16,16.883453369140625
2008-11-16,16.55157470703125
2008-12-16,14.13385009765625
2009-01-16,13.54638671875
2009-02-16,13.35443115234375
2009-03-16,13.07049560546875
2009-04-16,12.738800048828125
2009-05-16,14.22125244140625
2009-06-16,16.1806640625
2009-07-16,17.4056396484375
2009-08-16,17.675201416015625
2009-09-16,18.693939208984375
2009-10-16,17.5103759765625
2009-11-16,16.087890625
2009-12-16,14.3568115234375
2010-01-16,14.50982666015625
2010-02-16,13.89727783203125
2010-03-16,13.576873779296875
2010-04-16,12.990692138671875
2010-05-16,12.370361328125
2010-06-16,15.37066650390625
2010-07-16,16.153900146484375
2010-08-16,15.744537353515625
2010-09-16,15.8260498046875
2010-10-16,16.609344482421875
2010-11-16,15.171630859375
2010-12-16,13.14202880859375
2011-01-16,13.28582763671875
2011-02-16,13.202880859375
2011-03-16,12.455810546875
2011-04-16,12.872161865234375
2011-05-16,12.712860107421875
2011-06-16,14.58355712890625
2011-07-16,17.50262451171875
2011-08-16,17.052703857421875
2011-09-16,17.410858154296875
2011-10-16,16.39447021484375
2011-11-16,15.251373291015625
2011-12-16,14.035491943359375
2012-01-16,13.955596923828125
2012-02-16,13.317169189453125
2012-03-16,12.3194580078125
2012-04-16,12.481658935546875
2012-05-16,13.8709716796875
2012-06-16,16.088653564453125
2012-07-16,16.673797607421875
2012-08-16,18.834014892578125
2012-09-16,19.19671630859375
2012-10-16,18.92767333984375
2012-11-16,16.696258544921875
2012-12-16,15.01934814453125
2013-01-16,13.205535888671875
2013-02-16,13.22222900390625
2013-03-16,13.394134521484375
2013-04-16,13.117156982421875
2013-05-16,14.866912841796875
2013-06-16,16.489166259765625
2013-07-16,17.43341064453125
2013-08-16,16.7974853515625
2013-09-16,17.606903076171875
2013-10-16,17.656982421875
2013-11-16,16.6048583984375
2013-12-16,14.61761474609375
2014-01-16,14.949432373046875
2014-02-16,14.1461181640625
2014-03-16,14.386444091796875
2014-04-16,13.487884521484375
2014-05-16,14.776947021484375
2014-06-16,17.392333984375
2014-07-16,19.509918212890625
2014-08-16,19.117767333984375
2014-09-16,19.86053466796875
2014-10-16,20.100982666015625
2014-11-16,18.41815185546875
2014-12-16,17.201904296875
2015-01-16,15.795013427734375
2015-02-16,15.86474609375
2015-03-16,15.23687744140625
2015-04-16,14.37005615234375
2015-05-16,14.55487060546875
2015-06-16,16.754638671875
2015-07-16,18.8197021484375
2015-08-16,19.928558349609375
2015-09-16,21.5072021484375
2015-10-16,21.01165771484375
2015-11-16,17.503448486328125
2015-12-16,16.22991943359375
2016-01-16,14.743255615234375
2016-02-16,14.915740966796875
2016-03-16,14.686737060546875
2016-04-16,14.026947021484375
2016-05-16,14.33221435546875
2016-06-16,16.2674560546875
2016-07-16,19.195556640625
2016-08-16,19.4827880859375
2016-09-16,18.372802734375
2016-10-16,17.3331298828125
2016-11-16,16.6197509765625
2016-12-16,14.404541015625
2017-01-16,13.921478271484375
2017-02-16,13.761932373046875
2017-03-16,13.781219482421875
2017-04-16,13.094818115234375
2017-05-16,13.998046875
2017-06-16,16.0640869140625
2017-07-16,18.657501220703125
2017-08-16,18.887664794921875
2017-09-16,18.716400146484375
2017-10-16,18.274566650390625
2017-11-16,16.804107666015625
2017-12-16,15.355621337890625
2018-01-16,15.01983642578125
2018-02-16,14.429168701171875
2018-03-16,13.481597900390625
2018-04-16,12.758026123046875
2018-05-16,13.792938232421875
2018-06-16,15.895782470703125
2018-07-16,19.66876220703125
2018-08-16,20.261322021484375
2018-09-16,18.95709228515625
2018-10-16,18.677490234375
2018-11-16,17.78204345703125
2018-12-16,15.782623291015625
2019-01-16,14.670166015625
2019-02-16,14.10601806640625
2019-03-16,13.736328125
2019-04-16,13.74267578125
2019-05-16,14.245452880859375
2019-06-16,16.112274169921875
2019-07-16,17.30328369140625
2019-08-16,17.966064453125
2019-09-16,19.5244140625
2019-10-16,17.33319091796875
2019-11-16,16.7120361328125
2019-12-16,14.918975830078125
2020-01-16,14.58709716796875
2020-02-16,14.65447998046875
2020-03-16,14.375946044921875
